488,Plai,46
489,Lala,39
490,Plai,36
491,Conv,39
492,Lala,47
493,Plai,46
494,Lala,30
495,Conv,45
496,Conv,38
497,Conv,36
498,Blia,43
499,Blia,33
500,Blia,35
501,Conv,46
502,Lala,43
503,Lala,36
504,Lala,37
505,Plai,43
506,Plai,40
507,Lala,29
508,Blia,33
509,Blia,33
510,Conv,31
511,Blia,29
512,Plai,38
513,Conv,37
514,Plai,37
515,Plai,37
516,Plai,37
517,Blia,44
518,Blia,29
519,Plai,47
520,Blia,44
521,Conv,43
522,Blia,36
523,Lala,46
524,Lala,30
525,Conv,44
526,Plai,34
527,Plai,34
528,Conv,39
529,Plai,31
530,Plai,45
531,Lala,48
532,Blia,32
533,Conv,46
534,Blia,39
535,Lala,34
536,Conv,47
537,Blia,44
538,Lala,38
539,Conv,33
540,Lala,40
541,Lala,33
542,Blia,35
543,Blia,30
544,Conv,39
545,Plai,36
546,Lala,42
547,Lala,41
548,Conv,43
549,Blia,39
550,Conv,37
551,Plai,47
552,Conv,39
553,Conv,30
554,Conv,40
555,Plai,37
556,Conv,37
557,Lala,44
558,Blia,36
559,Plai,31
560,Blia,47
561,Plai,31
562,Conv,42
563,Blia,47
564,Plai,34
565,Lala,37
566,Lala,32
567,Conv,32
568,Lala,33
569,Lala,37
570,Plai,30
571,Plai,31
572,Lala,36
573,Conv,38
574,Blia,36
575,Lala,37
576,Lala,37
577,Blia,39
578,Blia,45
579,Conv,48
580,Lala,31
581,Conv,31
582,Blia,40
583,Lala,31
584,Lala,32
585,Blia,34
586,Conv,30
587,Conv,41
588,Lala,30
589,Conv,48
590,Conv,33
591,Blia,35
592,Blia,32
593,Plai,33
594,Lala,31
595,Plai,48
596,Plai,41
597,Blia,37
598,Conv,44
599,Lala,38
600,Lala,29
601,Lala,32
602,Lala,38
603,Conv,35
604,Plai,48
605,Conv,37
606,Blia,42
607,Conv,30
608,Plai,29
609,Lala,35
610,Plai,48
611,Plai,39
612,Plai,38
613,Plai,35
614,Plai,37
615,Conv,32
616,Conv,39
617,Blia,35
618,Plai,45
619,Plai,32
620,Conv,36
621,Plai,32
622,Plai,33
623,Lala,31
624,Blia,41
625,Plai,34
626,Lala,40
627,Lala,34
628,Blia,45
629,Blia,42
630,Blia,38
631,Plai,30
632,Conv,46
633,Plai,38
634,Plai,37
635,Lala,43
636,Plai,41
637,Conv,45
638,Conv,33
639,Conv,30
640,Plai,35
641,Blia,44
642,Lala,41
643,Blia,37
644,Blia,48
645,Plai,35
646,Conv,35
647,Lala,31
648,Conv,36
649,Plai,38
650,Blia,31
651,Lala,46
652,Lala,31
653,Lala,37
654,Plai,38
655,Blia,31
656,Conv,46
657,Lala,46
658,Blia,41
659,Lala,36
660,Conv,44
661,Plai,42
662,Conv,37
663,Plai,38
664,Lala,38
665,Blia,38
666,Lala,30
667,Blia,42
668,Plai,48
669,Plai,31
670,Blia,29
671,Blia,32
672,Conv,31
673,Blia,43
674,Lala,33
675,Conv,40
676,Lala,39
677,Blia,29
678,Plai,33
679,Conv,34
680,Lala,29
681,Blia,41
682,Conv,38
683,Conv,46
684,Lala,42
685,Blia,29
686,Conv,33
687,Conv,43
688,Plai,47
689,Lala,29
690,Plai,46
691,Plai,47
692,Blia,37
693,Plai,33
694,Blia,39
695,Blia,39
